"site","y_j","mu_j","alpha_j","E(m_j|y_j)","SD(m_j|y_j)","y_j,after","Observed","After RTM"
"550",1,0.677380910855506,0.356348158664073,0.885035281633479,0.754754654620063,3,2,2.11496471836652
"552",4,1.20951590212461,0.236675821451638,3.33955988388761,1.59661103750462,3,-1,-0.33955988388761
"553",7,1.32863903163915,0.220127007963586,5.75158027895326,2.11790040395787,2,-5,-3.75158027895326
"554",8,3.3444470711566,0.100826695570717,7.53059598213015,2.60217425887926,4,-4,-3.53059598213015
"557",7,1.61569671138421,0.188385127148801,5.98567734036641,2.20410180198869,5,-2,-0.98567734036641
"558",5,3.2361642366699,0.103850023758989,4.81682561407122,2.07764245230189,4,-1,-0.816825614071216
"562",6,2.82057673155275,0.117355716830805,5.62687650322283,2.22857137594215,7,1,1.37312349677717
"563",7,1.74621162063498,0.176794197028738,6.07116070211125,2.23557928080152,7,0,0.928839297888755
"564",2,0.873426895283164,0.300390209735903,1.66158846879128,1.07817603393709,5,3,3.33841153120872
"565",8,2.48594763476718,0.131082056485796,7.27720667639492,2.51461636433491,5,-3,-2.27720667639492
"566",16,3.08456616399059,0.108400699688711,14.5999579353933,3.60795125795387,5,-11,-9.59995793539333
"567",7,2.59702246680773,0.126183099289082,6.4444186487616,2.37302379476998,4,-3,-2.4444186487616
"569",11,2.6122591292943,0.125539500855358,9.94700719778752,2.94928209555692,3,-8,-6.94700719778752
"570",8,0.875090366182953,0.29999049328985,5.86259484430562,2.02580160060255,3,-5,-2.86259484430562
"571",11,4.89972591197251,0.0710975717826727,10.5662853251325,3.13289771549482,16,5,5.43371467486751
"572",4,2.83593773780212,0.116794295266265,3.86404416844054,1.84736186301163,4,0,0.135955831559456
"573",5,4.00163774540515,0.0856867551423475,4.91445357794717,2.11975234344845,4,-1,-0.914453577947168
"574",12,2.8478391753376,0.116362995237636,10.9350271535457,3.10847143158085,14,2,3.06497284645427
"576",7,2.12652658873451,0.149915851986735,6.26938908141544,2.30857277897811,9,2,2.73061091858456
"578",7,2.50797691258442,0.130080445532561,6.41567563544643,2.36243977497738,1,-6,-5.41567563544643
